staff_role,count,classified_role
Mgr Emergency Svcs,277,UNMAPPED
Residents/Interns,274,PROVIDER
Supv Laboratory,274,UNMAPPED
Certified Nurse Assistant,274,RN
Pediatric Surgery,273,PROVIDER
DHP-BioMed Technician-GE,273,BIOMED
RN PT W/E,271,RN
RN NICU PRN,270,RN
Patient Care Tech/EMT,269,TECH
Patient Care Tech Float PRN,269,TECH
Radiology Technician PRN,268,PROVIDER
Endo/GI Technician,267,TECH
Student - Nursing - SUNR,266,RN
Orthopedic Surgery,266,PROVIDER
RN L&D PRN,265,RN
Physician Office Staff (OR),265,PROVIDER
RN Post Anesthesia Care Unit,264,RN
Underpayments-Off Site,264,UNMAPPED
RN Progressive Care PRN,263,RN
Surgical/OR Technician Cert,263,TECH
Behavioral Health Technician,263,PROVIDER
Supv Respiratory Therapy,262,TECH
Surgical/OR Technician,261,TECH
Executive Admin Asst,258,NON_CLINICAL
RN Post Partum,258,RN
Security Officer PRN,258,SECURITY
Security Officer,255,SECURITY
Dietary Clerk,255,NON_CLINICAL
Sr Tech Analyst,252,TECH
RN Inpatient Auth WFH,252,RN
Patient Care Tech/EMT PRN,251,TECH
PBX Operator PRN,251,NON_CLINICAL
Contractor- Information Security & Privacy,251,NON_CLINICAL
Environmental Svcs Tech,251,TECH
Medical Lab Scientist,250,UNMAPPED
CT Technician,250,TECH
Echo Technician,250,TECH
RN Surgery,249,RN
Gynecology,248,PROVIDER
Paramedic ED,247,TECH
Sitter,246,TECH
_Contractor,246,NON_CLINICAL
Pediatric Critical Care,245,PROVIDER
Ultrasound Tech,244,TECH
RN FSED,242,RN
APP Student,242,NON_CLINICAL
Student Other,240,NON_CLINICAL
CT Technologist Reg,240,TECH
Physician Office Staff - Conroe,239,PROVIDER
FNS Asst PRN,237,UNMAPPED
Analyst AP,237,NON_CLINICAL
Vaccine Only Practitioner,237,UNMAPPED
Student Nurse (LVL2) Galen - Southwest Virginia,236,RN
Patient Care Tech Cert,235,TECH
Physician ADMIT,235,PROVIDER
Student Nurse (LVL2) Alaska,234,RN
Clinical Dietitian PRN,232,ALLIED_HEALTH
Adjunct Faculty WFH,231,NON_CLINICAL
Patient Service Representative,229,UNMAPPED
Student - PT,229,NON_CLINICAL
Phys Pract Vendor-HCAPS,228,NON_CLINICAL
Medical Student / GME KRMC,228,NON_CLINICAL
Resident / Fellow,228,PROVIDER
App Developer,228,UNMAPPED
RN PCU,227,RN
RN Noncritical,227,RN
RN CCU PRN,226,RN
Radiographer,223,UNMAPPED
HRBP,223,UNMAPPED
Case Management Assistant,223,UNMAPPED
Clinical Denials ECW Associate,223,UNMAPPED
Sterile Processing Tech PRN,222,SUPPLY_CHAIN_TECH
Hospitality Associate EVS II,221,EVS
RN Endo,220,RN
EVS Aide PRN,220,EVS
Speech Therapist PRN,219,UNMAPPED
RN PreOp,219,RN
International Group,219,NON_CLINICAL
Ultrasound Technician PRN,218,TECH
RN HH PPV PRN,217,RN
CCU - HBS EM Associate,217,UNMAPPED
Insurance Verification Rep,216,UNMAPPED
FNS Worker PRN,214,UNMAPPED
Physician Assistant UC,214,PROVIDER
Respiratory Practitioner II,214,TECH
Certified Scrub Tech -OR,214,TECH
RN Float Pool PRN,213,RN
Supv Clinic Lic,213,UNMAPPED
Student - Nursing Frankfort,213,RN
Billing Integrity Workflow-Off Site,213,NON_CLINICAL
Env Svc Assoc,213,UNMAPPED
Resident V,212,PROVIDER
Mental Health Technician PRN,212,TECH
RN Surgical Svcs,211,RN
Monitor Technician,211,TECH
Medical Assistant,210,MA
Physician Office Staff - West Houston,209,PROVIDER
Mgr Practice,207,UNMAPPED
Envrn Svc-Assoc,207,UNMAPPED
Student Nurse (LVL2) Kentucky,207,RN
Supv Environmental Svcs,206,UNMAPPED
Student - Nursing,206,RN
RN Inpatient Rehab,205,RN
RMC-Physician,205,PROVIDER
Patient Transporter,204,NON_CLINICAL
Claims Rep,204,UNMAPPED
*EVS Housekeeper,203,EVS
RN Endo/GI PRN,203,RN
Hospitality Assoc FNS II,203,UNMAPPED
DHP-ECMO Technician,203,TECH
Surgical Technologist OB,202,TECH
Hospitality Assoc EVS I PRN,202,EVS
Social Worker BSW,202,ALLIED_HEALTH
RN Neonatal Staff - BCP,202,RN
RN Coord Patient Logistics,201,SUPPLY_CHAIN_TECH
NOA_Offsite,201,UNMAPPED
Student Nurse (LVL2) Galen - North Carolina,200,RN
Mental Health Prof III Lic,199,UNMAPPED
Accountant,199,UNMAPPED
Med Students,199,NON_CLINICAL
Certified Surgical Technician,199,TECH
Dir Med/Surg,198,UNMAPPED
FNS Assoc,198,UNMAPPED
Cook PRN,198,NON_CLINICAL
Abstractor II WFH,198,NON_CLINICAL
Student PT,198,NON_CLINICAL
RN Cath Lab,197,RN
Respiratory Therapist CRT,197,TECH
Technician Noncert,197,TECH
PCT,196,UNMAPPED
Coder WFH,196,NON_CLINICAL
Coord Infection Prevention,195,UNMAPPED
Coding Integ Spec III WFH,194,UNMAPPED
RN Navigator,194,RN
Student Nurse (LVL2) Galen - Tampa,194,RN
Registered Nurse PRN,193,RN
Instructor - Nursing Richmond,193,RN
Physician UC PRN,193,PROVIDER
Security Officer Unarmed,192,SECURITY
RN BU,192,RN
RN PreOp/PACU,191,RN
Dir Emergency Svcs,190,UNMAPPED
Medical Student / GME AHMC,190,NON_CLINICAL
Ultrasound Tech Perinatal,189,PROVIDER
Gynecologic Oncology,189,PROVIDER
VP HR,188,UNMAPPED
RN PreOp/PACU PRN,188,RN
Environmental Services,188,EVS
Dir Case Mgmt,187,UNMAPPED
Nurse Navigator,187,RN
RN Operating Room & Outpatient...,186,RN
Wellmed Discharge Planner,185,UNMAPPED
HIM Spec PRN,184,NON_CLINICAL
Student - Radiology,184,NON_CLINICAL
ENV Housekeeping,184,EVS
Certified Nursing Assistant,183,RN
Food Svc Worker,183,NON_CLINICAL
Armed Police Officer PRN,183,SECURITY
Advanced Practice Professional,182,UNMAPPED
RN Coord Quality,181,RN
Nurse Practitioner PRN,181,PROVIDER
Wound Care,181,UNMAPPED
FANS Tech I,181,TECH
Resident/Fellow,181,PROVIDER
OR Tech,180,TECH
Health Unit Coordinator,180,UNMAPPED
Operating Room Technician,180,TECH
Echo Technologist,179,TECH
Student Nurse (LVL2) Galen - Wichita,179,RN
COTA PRN,178,UNMAPPED
Overpayment Analyst-Offsite,178,NON_CLINICAL
Operating Room Tech,177,TECH
Nurse Practitioner UC PRN,177,PROVIDER
1Non-PrivilegedProvider,177,UNMAPPED
Coord RN,176,RN
RN Cardiovascular Intensive Care Unit,176,RN
Radiographer PRN,175,UNMAPPED
RN Coord Trauma PI,175,RN
HIM Specialist,175,NON_CLINICAL
DHP-Field Service Tech,175,TECH
Resident I Emergency Medicine,175,PROVIDER
Controller,174,UNMAPPED
CIT Coder-On_Off Site,174,NON_CLINICAL
EHR Support Analyst II,173,NON_CLINICAL
EIMC-Med Student,173,NON_CLINICAL
Physician Family Medicine,173,PROVIDER
DHP-Hospice Nurse,173,RN
Student - RT,173,NON_CLINICAL
EMT,172,TECH
GAA Physician,170,PROVIDER
Dir Surgical Svcs,169,UNMAPPED
Sr Application Eng,169,UNMAPPED
RN-Intensive Care,169,RN
